libelle;appellation_code
Ouvrier / Ouvrière du paysage;17487
Ouvrier / Ouvrière paysagiste;17515
Technicien / Technicienne paysagiste;38077
Protection du patrimoine naturel; 
Agent / Agente technique des parcs nationaux;10780
Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel;10358
Eco garde;14562
Garde-chasse;15205
Garde-chasse particulier / particulière;15206
Garde de parc naturel;15195
Garde du littoral;15198
Garde forestier / forestière;15199
Garde moniteur / monitrice de parc national;15200
Garde moniteur / monitrice de parc naturel;15201
Garde national / nationale de la chasse et de la faune sauvage;15202
Garde-pêche;15208
Garde-rivière;15210
Garde technicien / technicienne de réserve naturelle;15204
Observateur / Observatrice des pêches;200100
Technicien / Technicienne cynégétique;19706
Technicien / Technicienne de rivière;38379
Sylviculture; 
Agent / Agente de maîtrise d'exploitation forestière;10514
Agent technique forestier / Agente technique forestière;10795
Chef d'équipe de travaux forestiers;38438
Chef de district forestier;12136
Conducteur / Conductrice de travaux forestiers;38439
Contremaître / Contremaîtresse d'exploitation forestière;13572
Exploitant forestier / Exploitante forestière;15010
Forestier / Forestière;15109
Manoeuvre forestier / forestière;16353
Ouvrier forestier / Ouvrière forestière;17502
Ouvrier sylvicole / Ouvrière sylvicole;17536
Ouvrier sylviculteur / Ouvrière sylvicultrice;17537
Populiculteur / Populicultrice;17889
Sylviculteur / Sylvicultrice;19606
Etudes et assistance technique; 
Conseil et assistance technique en agriculture et environnement naturel; 
Animateur / Animatrice agricole;10972
Animateur / Animatrice d'organismes agricoles;11050
Conseiller / Conseillère agricole;13350
Conseiller / Conseillère d'agriculture;13386
Conseiller / Conseillère d'élevage en production laitière;13395
Conseiller / Conseillère de gestion agricole;13388
Conseiller / Conseillère en génie climatique agricole;38324
Conseiller / Conseillère en irrigation;13439
Conseiller / Conseillère en machinisme agricole;13440
Conseiller / Conseillère technique agricole;13481
Conseiller / Conseillère viticole;13496
Conseiller forestier / Conseillère forestière;13459
Hydraulicien / Hydraulicienne en agriculture;15498
Technicien / Technicienne arboricole;19657
Technicien / Technicienne avicole;19667
Technicien / Technicienne bâtiments d'élevage;19670
Technicien / Technicienne bovin;19679
Technicien / Technicienne caprin;19683
Technicien / Technicienne cunicole;19705
Technicien / Technicienne d'agriculture;19709
Technicien / Technicienne d'élevage;19932
Technicien / Technicienne d'expérimentation;19968
Technicien / Technicienne de culture maraîchère;19743
Technicien / Technicienne de génie écologique;200083
Technicien / Technicienne de maintenance végétale;19875
Technicien / Technicienne de production animale;19900
Technicien / Technicienne des travaux forestiers;19953
Technicien / Technicienne du génie rural;20019
Technicien / Technicienne du génie sanitaire et environnement;20020
Technicien / Technicienne en agriculture biologique;20036
Technicien / Technicienne en alimentation animale;20037
Technicien / Technicienne en fabrication fromagère;20066
Technicien / Technicienne équin;20135
Technicien / Technicienne horticole;20165
Technicien / Technicienne ovin;20207
Technicien / Technicienne porcin;20218
Technicien / Technicienne semences;20252
Technicien / Technicienne viticole;20286
Technicien foncier / Technicienne foncière;20147
Technicien foncier / Technicienne foncière en agriculture;20148
Technicien forestier / Technicienne forestière;20149
Technicien forestier / Technicienne forestière d'études et de recherche;20150
Technicien laitier / Technicienne laitière;20179
Contrôle et diagnostic technique en agriculture; 
Agent / Agente de collecte d'embryons;10401
Agent / Agente de production laitière;10566
Agent / Agente sanitaire apicole;10754
Agent / Agente sanitaire de l'agriculture;10755
Agent / Agente technique agricole;10759
Agent / Agente technique d'élevage;10778
Agent / Agente technique en produits de traitement;10789
Assistant / Assistante sanitaire apicole;11330
Contrôleur / Contrôleuse de croissance de l'agriculture;13594
Contrôleur / Contrôleuse de culture;13595
Contrôleur / Contrôleuse de performance;13612
Contrôleur / Contrôleuse viticole;13662
Contrôleur laitier / Contrôleuse laitière;13642
Contrôleur-pointeur / Contrôleuse-pointeuse;13665
Inséminateur artificiel / Inséminatrice artificielle;15918
Peseur laitier / Peseuse laitière;17673
Technicien / Technicienne agricole;19652
Technicien / Technicienne de contrôle de croissance de l'agriculture;19724
Technicien / Technicienne de contrôle laitier;19736
Technicien / Technicienne de production laitière;19917
Technicien / Technicienne des services vétérinaires;19951
Ingénierie en agriculture et environnement naturel; 
Agro-économiste;10804
Bio-ingénieur / Bio-ingénieure;11522
Chargé / Chargée d'études agricoles;11896
Chargé / Chargée d'études du patrimoine naturel;38762
Chargé / Chargée d'études économiques en agriculture;11903
Chargé / Chargée d'études en biodiversité;38761
Chargé / Chargée d'études en développement agricole;11906
Chargé / Chargée d'études en développement rural;11907
Chargé / Chargée d'études environnement;11910
Chargé / Chargée de mission biodiversité;38760
Chargé / Chargée de mission en agriculture;11824
Chargé / Chargée de recherche en agriculture;11861
Expérimentateur / Expérimentatrice en agriculture;14931
Expert / Experte cynégétique;14934
Expert / Experte en aquaculture;14936
Expert agricole et foncier / Experte agricole et foncière;14932
Expert forestier / Experte forestière;14948
Ingénieur / Ingénieure agro-environnement;15575
Ingénieur / Ingénieure agro-halieute;15576
Ingénieur / Ingénieure agronome;15577
Ingénieur / Ingénieure arboricole;15583
Ingénieur / Ingénieure d'études et de recherche agricoles;15711
Ingénieur / Ingénieure des eaux et forêts;15682
Ingénieur / Ingénieure des techniques forestières;15685
Ingénieur / Ingénieure des travaux agricoles;15686
Ingénieur / Ingénieure des travaux des eaux et forêts;15688
Ingénieur / Ingénieure des travaux ruraux;15692
Ingénieur / Ingénieure du génie rural;15723
Ingénieur / Ingénieure du génie rural des eaux et forêts -IGREF-;15724
Ingénieur / Ingénieure écologue;200081
Ingénieur / Ingénieure en expérimentation animale;15760
Ingénieur / Ingénieure en expérimentation végétale;15761
Ingénieur / Ingénieure en techniques d'expérimentation animale;15788
Ingénieur / Ingénieure halieute;15814
Ingénieur / Ingénieure horticole;15815
Ingénieur / Ingénieure méthanisation;200082
Ingénieur / Ingénieure paysagiste;15852
Production; 
Aide agricole de production fruitière ou viticole; 
Aide agricole en arboriculture;10806
Aide agricole en production fruitière;10810
Aide agricole en viticulture;10814
Aide arboricole;10815
Aide-arboriculteur / Aide-arboricultrice;10864
Aide-pépiniériste;10886
Aide viticole;10862
Aide-viticulteur / Aide-viticultrice;10900
Cueilleur / Cueilleuse de cerises;13853
Cueilleur / Cueilleuse de fruits;13855
Cueilleur / Cueilleuse de pêches;13856
Cueilleur / Cueilleuse de poires;13857
Cueilleur / Cueilleuse de pommes;13858
Planteur / Planteuse de bananes;17817
Porteur / Porteuse de hottes;17892
Vendangeur / Vendangeuse;20510
Aide agricole de production légumière ou végétale; 
Aide agricole en maraîchage-horticulture;10807
Aide agricole en polyculture;10808
Aide agricole en production florale;10809
Aide agricole en production légumière;10812
Aide agricole en production végétale;10813
Aide horticole;10849
Aide maraîcher / maraîchère;10853
Castreur / Castreuse de maïs;11710
Coupeur / Coupeuse de canne à sucre;13775
Cueilleur / Cueilleuse de feuilles de tabac;13854
Planteur / Planteuse de café - thé;17818
Planteur / Planteuse de canne à sucre;17819
Planteur / Planteuse de tabac;17820
Ramasseur / Ramasseuse d'ail;18275
Ramasseur / Ramasseuse d'asperges;18276
Ramasseur / Ramasseuse d'endives;18281
Ramasseur / Ramasseuse de champignons;18277
Ramasseur / Ramasseuse de légumes;18278
Ramasseur / Ramasseuse de pommes de terre;18279
Aide d'élevage agricole et aquacole; 
Aide agricole en production laitière;10811
Aide d'élevage aquacole;10832
Aide d'élevage bovin;10833
Aide d'élevage caprin;10834
Aide d'élevage cunicole (lapins);10835
Aide d'élevage de chevaux;10836
Aide d'élevage en production de volaille;10837
Aide d'élevage en production laitière;10838
Aide d'élevage ostréicole;10839
Aide d'élevage ovin;10840
Aide d'élevage porcin;10841
Aide de conchyliculture;10825
Aide de pisciculture;10829
Aide-vacher / Aide-vachère;10898
Palefrenier / Palefrenière;17546
Ramasseur / Ramasseuse d'oeufs;18282
Ramasseur / Ramasseuse de volaille;18280
Sexeur / Sexeuse de volailles;19431
Tondeur / Tondeuse de moutons;20364
Aquaculture; 
Algoculteur / Algocultrice (algues);10922
Aquaculteur / Aquacultrice;11099
Astaciculteur / Astacicultrice (écrevisses);11361
Chef d'exploitation aquacole;12511
Conchyliculteur / Conchylicultrice (coquillages);12843
Crustaciculteur / Crustacicultrice (crustacés);13851
Échiniculteur / Échinicultrice (oursins);14558
Mytiliculteur / Mytilicultrice (moules);16944
Ostréiculteur / Ostréicultrice (huîtres);17375
Ouvrier / Ouvrière aquacole;17402
Ouvrier / Ouvrière mytilicole;17511
Ouvrier / Ouvrière ostréicole;17513
Ouvrier / Ouvrière piscicole;17517
Pectiniculteur / Pectinicultrice (coquilles Saint-Jacques);17601
Pisciculteur / Piscicultrice;17801
Salmoniculteur / Salmonicultrice (saumons);19303
Truiticulteur / Truiticultrice (truites);20467
Vénériculteur / Vénéricultrice (palourdes);20649
Arboriculture et viticulture; 
Arboriculteur / Arboricultrice;11103
Arboriculteur ornemental / Arboricultrice ornementale;11104
Chef d'équipe en production arboricole;38775
Chef d'exploitation en arboriculture;12519
Chef de culture arboricole;12112
Chef de culture viticole;12120
Chef de station fruitière;12374
Contremaître / Contremaîtresse en arboriculture;13577
Fruiticulteur / Fruiticultrice;15172
Kiwiculteur / Kiwicultrice;16141
Oléiculteur / Oléicultrice;17044
Ouvrier / Ouvrière arboricole;17403
Ouvrier / Ouvrière en arboriculture;17490
Ouvrier / Ouvrière en viticulture;17498
Ouvrier viticole / Ouvrière viticole;17540
Pomiculteur / Pomicultrice;17876
Producteur / Productrice d'ananas;18082
Producteur / Productrice de bananes;18083
Pruniculteur / Prunicultrice;18225
Régisseur / Régisseuse d'exploitation viticole;18415
Responsable d'exploitation viticole;18996
Tailleur / Tailleuse de fruitiers;38078
Tailleur / Tailleuse de vigne;19624
Vigneron manipulant / Vigneronne manipulante;20689
Viticulteur / Viticultrice;20713
Encadrement équipage de la pêche; 
Capitaine de pêche;11668
Commandant / Commandante de pêche;12733
Lieutenant / Lieutenante de pêche;16187
Patron / Patronne à la pêche;17582
Patron / Patronne de pêche;17583
Second / Seconde de pêche;19355
Élevage bovin ou équin; 
Agriculteur / Agricultrice de production laitière;10802
Ânier / Ânière;10966
Bouvier / Bouvière;11583
Conducteur / Conductrice d'atelier de production animale bovine ou équine;12869
Conducteur / Conductrice d'atelier de vaches allaitantes;12872
Éleveur / Éleveuse d'ânes;14684
Éleveur / Éleveuse de bisons;14688
Éleveur / Éleveuse de bovins;14689
Éleveur / Éleveuse de chevaux;14694
Éleveur / Éleveuse de poneys;14708
Éleveur / Éleveuse de poulains;14711
Éleveur / Éleveuse de taurillons;14715
Éleveur / Éleveuse de vaches laitières;14716
Éleveur / Éleveuse de vaches laitières et de bétail viande;14717
Éleveur / Éleveuse de veaux de boucherie;14718
Éleveur / Éleveuse en production bovine et/ou équine;14724
Éleveur-sélectionneur / Éleveuse-sélectionneuse en production bovine et/ou équine;14730
Étalonnier / Étalonnière;14906
Gardian;15211
Manadier / Manadière;16330
Ouvrier / Ouvrière agricole en production bovine;17389
Ouvrier / Ouvrière agricole en production équine;17394
Ouvrier / Ouvrière agricole en production laitière;17395
Ouvrier / Ouvrière d'élevage en production bovine;17463
Ouvrier / Ouvrière d'élevage en production bovine biologique;17464
Ouvrier / Ouvrière d'élevage en production équine;17468
Ouvrier / Ouvrière d'élevage laitier bovin;17471
Ouvrier / Ouvrière de production bovine;17456
Producteur / Productrice de lait bovin;18085
Producteur / Productrice de viande bovine;18098
Producteur / Productrice de viande équine;18099
Responsable d'élevage bovin;18900
Responsable d'élevage équin;18904
Responsable de troupeau;18890
Vacher / Vachère;20498
Élevage d'animaux sauvages ou de compagnie; 
Animalier / Animalière de laboratoire;10967
Animalier / Animalière en parc zoologique;10968
Apiculteur / Apicultrice;11079
Coturniculteur / Coturnicultrice (cailles);13763
Cyniculteur / Cynicultrice (gibiers);13882
Dresseur / Dresseuse de chiens;14532
Éducateur / Éducatrice canin;38628
Éleveur / Éleveuse d'animaux à fourrure;14685
Éleveur / Éleveuse d'animaux de compagnie;14686
Éleveur / Éleveuse d'autruches;14687
Éleveur / Éleveuse d'escargots;14721
Éleveur / Éleveuse d'insectes;14722
Éleveur / Éleveuse de cervidés;14692
Éleveur / Éleveuse de chats;14693
Éleveur / Éleveuse de chiens;14698
Éleveur / Éleveuse de chiens guides;14699
Éleveur / Éleveuse de crocodiles;14700
Éleveur / Éleveuse de grands gibiers;14701
Éleveur / Éleveuse de lamas;14702
Éleveur / Éleveuse de petits gibiers;14707
Éleveur / Éleveuse de reptiles;14712
Éleveur / Éleveuse de reptiles aquatiques;14713
Éleveur / Éleveuse de rongeurs;14714
Éleveur / Éleveuse de visons;14719
Féliniculteur / Félinicultrice (félins);15062
Garçon / Fille de chenil;15189
Héliciculteur / Hélicicultrice (escargots);15467
Lombriculteur / Lombricultrice (lombrics);16215
Ouvrier / Ouvrière cynicole;17416
Raniculteur / Ranicultrice (grenouilles);18287
Sériciculteur / Séricicultrice (vers à soie);19412
Zootechnicien / Zootechnicienne;20741
Élevage de lapins et volailles; 
Accouveur / Accouveuse;10232
Aviculteur / Avicultrice;11467
Éleveur / Éleveuse de lapins;14703
Éleveur / Éleveuse de lapins angoras;14704
Éleveur / Éleveuse de lapins ou de volailles;14705
Éleveur / Éleveuse de volailles;14720
Éleveur-sélectionneur / Éleveuse-sélectionneuse en production de lapins;14731
Éleveur-sélectionneur / Éleveuse-sélectionneuse en production de volailles;14732
Engraisseur / Engraisseuse de lapins ou de volailles;14837
Gaveur / Gaveuse;15242
Naisseur / Naisseuse en production de lapins ou de volailles;16948
Ouvrier / Ouvrière agricole en production de lapins;17392
Ouvrier / Ouvrière agricole en production de volailles;17393
Ouvrier / Ouvrière agricole spécialisation aviculture;17401
Ouvrier / Ouvrière avicole;17405
Ouvrier / Ouvrière cunicole (lapins);17415
Ouvrier / Ouvrière d'accouvage;17419
Ouvrier / Ouvrière d'élevage en production de lapins;17466
Ouvrier / Ouvrière d'élevage en production de volailles;17467
Responsable d'élevage avicole;18899
Responsable d'élevage cunicole (lapins);18901
Responsable de poulailler;18810
Élevage ovin ou caprin; 
Berger / Bergère;11499
Berger / Bergère d'estives;11501
Berger / Bergère de production laitière;11500
Berger fromager / Bergère fromagère;11502
Chevrier / Chevrière;12618
Chevrier fromager / Chevrière fromagère;12619
Éleveur / Éleveuse d'agneaux;14683
Éleveur / Éleveuse d'ovins;14723
Éleveur / Éleveuse de brebis laitières;14690
Éleveur / Éleveuse de caprins;14691
Éleveur / Éleveuse de chèvres;14696
Éleveur / Éleveuse de chèvres angoras;14697
Éleveur / Éleveuse de moutons;14706
Éleveur / Éleveuse en production ovine et caprine;14725
Éleveur laitier / Éleveuse laitière en production ovine et caprine;14728
Éleveur-sélectionneur / Éleveuse-sélectionneuse d'ovins et de caprins;14729
Moutonnier / Moutonnière;16933
Ouvrier / Ouvrière agricole en production caprine;17391
Ouvrier / Ouvrière agricole en production laitière d'ovins ou de caprins;17396
Ouvrier / Ouvrière agricole en production ovine;17397
Ouvrier / Ouvrière d'élevage en production caprine;17465
Ouvrier / Ouvrière d'élevage en production ovine;17469
Ouvrier / Ouvrière d'élevage laitier en production ovine ou caprine;17472
Ouvrier / Ouvrière de production ovine;17457
Producteur / Productrice de lait d'ovin et de caprin;18086
Responsable d'élevage en production caprine;18902
Responsable d'élevage en production ovine;18903
Élevage porcin; 
Chef d'élevage porcin;12384
Chef d'exploitation agricole porcine;12510
Chef de production agricole porcine;12216
Conducteur / Conductrice d'atelier de production animale porcine;12871
Éleveur / Éleveuse de porcins;14709
Éleveur / Éleveuse de porcs;14710
Éleveur / Éleveuse en production porcine;14726
Éleveur-sélectionneur / Éleveuse-sélectionneuse en production porcine;14733
Engraisseur / Engraisseuse de porcelets;14838
Naisseur-engraisseur / Naisseuse-engraisseuse porcin;16949
Ouvrier / Ouvrière agricole en production porcine;17398
Ouvrier / Ouvrière d'élevage en production porcine;17470
Ouvrier / Ouvrière de production porcine;17458
Ouvrier agricole polyvalent / Ouvrière agricole polyvalente en élevage porcin;17400
Porcher / Porchère;17890
Producteur / Productrice hors sol porcin;18104
Régisseur / Régisseuse d'exploitation agricole porcine;18414
Régisseur / Régisseuse en agriculture porcine;18422
Régisseur / Régisseuse polyculture élevage porcin;18425
Responsable d'élevage porcin;18905
Second / Seconde d'exploitation porcine;19358
Technicien spécialisé / Technicienne spécialisée en conduite d'élevage porcin;20260
Fabrication et affinage de fromages; 
Affineur / Affineuse de fromages;10329
Fabricant-affineur / Fabricante-affineuse de fromages;15028
Fromager / Fromagère;15170
Fromager-affineur / Fromagère-affineuse;15171
Fermentation de boissons alcoolisées; 
Aide caviste;38571
Brasseur / Brasseuse de bière;11590
Brasseur-malteur / Brasseuse-malteuse;11592
Caviste;11717
Chef caviste;12008
Chef de cave;12080
Cidrier / Cidrière;12638
Cuviste;140927
Employé / Employée de chai;14761
Maître / Maîtresse de chai;16299
Oenologue;17010
Oenologue conseil;17011
Oenologue en recherche développement;17012
Ouvrier / Ouvrière de chai;17423
Ouvrier / Ouvrière de cidrerie;17425
Horticulture et maraîchage; 
Aspigiculteur / Aspigicultrice;11166
Bulbiculteur / Bulbicultrice;11608
Champignonniste;11731
Chef d'équipe en production maraîchère;38774
Chef d'exploitation en maraîchage-horticulture;12520
Chef de culture champignonniste;12114
Chef de culture en exploitation maraîchère;12115
Chef de culture floriculture;12116
Chef de culture horticole;12117
Chef de culture maraîchère;12118
Chef de culture pépinière;12119
Conducteur / Conductrice de travaux horticoles;13216
Cressiculteur / Cressicultrice;13846
Cultivateur / Cultivatrice d'endives;13875
Cultivateur / Cultivatrice de primeurs;13874
Directeur / Directrice des cultures;14364
Endivier / Endivière;14824
Floriculteur / Floricultrice;15098
Horticulteur / Horticultrice;15476
Lavandiculteur / Lavandicultrice;16164
Maraîcher / Maraîchère;16384
Osiériculteur / Osiéricultrice;17372
Ouvrier / Ouvrière agricole en maraîchage-horticulture;17388
Ouvrier / Ouvrière champignonniste;17411
Ouvrier / Ouvrière de champignonnière;17424
Ouvrier / Ouvrière de culture maraîchère;17427
Ouvrier / Ouvrière en production horticole biologique;17494
Ouvrier / Ouvrière en production maraîchère biologique;17495
Ouvrier / Ouvrière en production pépinière biologique;17496
Ouvrier / Ouvrière horticole;17504
Ouvrier / Ouvrière horticole serriste;17505
Ouvrier / Ouvrière pépiniériste;17516
Ouvrier / Ouvrière serriste;17530
Ouvrier maraîcher / Ouvrière maraîchère;17506
Ouvrier maraîcher / Ouvrière maraîchère de culture légumière;17507
Ouvrier maraîcher / Ouvrière maraîchère primeuriste;17508
Pépiniériste;17653
Pépiniériste viticole;17654
Primeuriste;18067
Producteur / Productrice de plantes à parfum;18088
Producteur / Productrice de plantes aromatiques;18089
Producteur / Productrice de plantes in vitro;18090
Producteur / Productrice de plantes médicinales;18091
Producteur / Productrice de semences;18095
Producteur / Productrice de tabac;18097
Producteur / Productrice de tomates;18224
Responsable de champignonnière;18681
Rosiériste;19282
Second / Seconde d'exploitation horticole;19357
Semencier / Semencière;19411
Serriste;19414
Tabaculteur / Tabacultrice;19610
Équipage de la pêche; 
Bosco;11559
Goémonier / Goémonière;15379
Maître / Maîtresse d'équipage à la pêche;16310
Marin calier;16397
Marin fileyeur;16402
Marin glaceur;16403
Marin grande pêche;16404
Marin-pêcheur;16406
Marin-trancheur;16408
Pêcheur / Pêcheuse à pied;17600
Ramendeur / Ramendeuse;18284
Timonier / Timonière;20326
Polyculture, élevage; 
Agriculteur / Agricultrice;10801
Agriculteur / Agricultrice en polyculture;10803
Betteravier / Betteravière;11505
Céréalier / Céréalière;11726
Chef d'équipe d'exploitation agricole;12444
Chef d'équipe en polyculture élevage;12466
Chef d'exploitation agricole;12509
Chef de chantier de travaux agricoles;38880
Chef de culture céréalière;12113
Chef de production agricole;12215
Conducteur / Conductrice de travaux en entreprise de travaux agricoles;38881
Contremaître / Contremaîtresse agricole;13558
Contremaître / Contremaîtresse d'exploitation agricole;13571
Cultivateur / Cultivatrice de grandes cultures;13872
Cultivateur / Cultivatrice de plein champ;13873
Exploitant / Exploitante agricole;14968
Gérant / Gérante d'exploitation agricole;15302
Intendant / Intendante d'exploitation agricole;16036
Maïsiculteur / Maïsicultrice;16295
Ouvrier / Ouvrière agricole de grandes cultures;17387
Ouvrier / Ouvrière en polyculture élevage;17493
Ouvrier agricole polyvalent / Ouvrière agricole polyvalente;17399
Polyculteur éleveur / Polycultrice éleveuse;17875
Polyéleveur / Polyéleveuse;140959
Producteur / Productrice d'oléagineux;18101
Producteur / Productrice de cannes à sucre;18084
Producteur / Productrice de pommes de terre;18092
Producteur / Productrice de protéagineux;18093
Régisseur / Régisseuse d'exploitation agricole;18413
Régisseur / Régisseuse en agriculture;18421
Riziculteur / Rizicultrice;19266
Second / Seconde d'exploitation en polyculture élevage;19356
Saliculture; 
Paludier / Paludière;17552
Producteur / Productrice de sel;18094
Saliculteur / Salicultrice;19301
Salinier / Salinière;19302
Saunier / Saunière;19313
Soins aux animaux; 
Aide aux soins animaux; 
Aide-vétérinaire;10899
Auxiliaire de santé animale;11449
Auxiliaire de soins aux animaux;11450
Auxiliaire de soins vétérinaires;11451
Auxiliaire de vétérinaire;11452
Auxiliaire Spécialisé / Spécialisée Vétérinaire -ASV-;11463
Auxiliaire vétérinaire;11464
Auxiliaire Vétérinaire Qualifié / Qualifiée -AVQ-;11465
Garçon / Fille de cour d'entraînement de chevaux;38730
Garde d'animaux de compagnie - Pet sitter;38815
Groom chevaux;140928
Soigneur / Soigneuse d'équidés;19447
Soigneur / Soigneuse de chevaux;19442
Soigneur / Soigneuse de ménagerie;19445
Soigneur / Soigneuse en parc zoologique;19448
Soigneur / Soigneuse en pension animale;19449
Soigneur animalier / Soigneuse animalière;19441
Podologie animale; 
Maréchal-ferrant / Maréchale-ferrante;16390
Pareur / Pareuse d'onglon;17559
Pédicure pour bovin;17604
Toilettage des animaux; 
Assistant toiletteur / Assistante toiletteuse;11355
Baigneur-peigneur / Baigneuse-peigneuse d'animaux;11485
Toiletteur / Toiletteuse canin;20348
Toiletteur / Toiletteuse d'animaux;20349
Toiletteur / Toiletteuse pour chiens;20350
Tondeur / Tondeuse d'animaux;20363
Santé animale; 
Ostéopathe animalier / animalière;200200
Vétérinaire;20672
Vétérinaire assistant / assistante;20673
Vétérinaire biologiste;20674
Vétérinaire canin;20675
Vétérinaire équin;20678
Vétérinaire mixte;20679
Vétérinaire praticien / praticienne;20680
Vétérinaire rural / rurale;20681
Vétérinaire sanitaire;20682
Vétérinaire sapeur-pompier / sapeuse-pompière;20683
Arts et Façonnage d'ouvrages d'art; 
Arts plastiques; 
Création en arts plastiques; 
Aquarelliste;11101
Artiste conceptuel / conceptuelle;11154
Artiste peintre;11158
Artiste peintre à l'aérographe;11159
Artiste peintre décorateur / décoratrice;11160
Artiste plasticien / plasticienne;11161
Artiste sérigraphe;11162
Artiste sonore;11163
Calligraphe;11656
Caricaturiste;38440
Créateur / Créatrice en arts plastiques;13837
Dessinateur / Dessinatrice d'art;14017
Dessinateur-illustrateur / Dessinatrice-illustratrice;14092
Lithographe;16201
Pastelliste;17570
Peintre animalier / animalière;17611
Peintre cartonnier / cartonnière;17615
Peintre d'art;17616
Peintre en fresque;17623
Peintre en trompe-l'oeil;17627
Peintre lithographe;17635
Peintre mosaïste;17636
Peintre paysagiste;17637
Performeur / Performeuse;17661
Plasticien / Plasticienne;17823
Portraitiste;17900
Sculpteur / Sculptrice;19335
Sculpteur / Sculptrice ornemaniste;19338
Sculpteur / Sculptrice statuaire;19340
Sculpteur animalier / Sculptrice animalière;19336
Sculpteur-médailleur / Sculptrice-médailleuse;19344
Sculpteur-modeleur / Sculptrice-modeleuse;19345
Vidéaste;20686
Céramique; 
Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse; 
Céramiste concepteur / conceptrice;11723
Céramiste d'art;11724
Céramiste praticien / praticienne;11725
Garnisseur / Garnisseuse en céramique;15238
Modeleur sculpteur / Modeleuse sculptrice en céramique;16700
Modeleur sculpteur / Modeleuse sculptrice en matériaux de synthèse;16701
Opérateur / Opératrice en restauration de céramique;17214
Potier / Potière;17953
Potier / Potière en réfractaire;17954
Restaurateur / Restauratrice de céramique;19217
Santonnier / Santonnière;19305
Tourneur / Tourneuse en poterie;20375
Décoration; 
Décoration d'espaces de vente et d'exposition; 
Agenceur / Agenceuse d'intérieur de magasin;10347
Décorateur / Décoratrice étalagiste;13906
Étalagiste;14896
Étalagiste décorateur / décoratrice;14897
Étalagiste en articles de luxe;14898
Étalagiste en bijouterie;14899
Étalagiste en chaussures;14900
Étalagiste en maroquinerie;14901
Étalagiste en parfumerie;14902
Étalagiste en prêt-à-porter;14903
Marchandiseur visuel / Marchandiseuse visuel;16631
Scénographe-muséographe;19322
Scénographe produits;19320
Visual merchandiser;20712
Décoration d'objets d'art et artisanaux; 
Argenteur / Argenteuse en orfèvrerie;11136
Argenteur / Argenteuse sur feuille;11138
Argenteur / Argenteuse sur verre ou cristal;11139
Décorateur / Décoratrice en verrerie;13904
